,Style,Style Key
0,Altbier,8
1,Barleywine - American,97
2,Barleywine - English,98
3,Bitter - English Extra Special / Strong Bitter (ESB),41
4,Bitter - English,40
5,Bière de Champagne / Bière Brut,27
6,Blonde Ale - American,43
7,Blonde Ale - Belgian,42
8,Bock - Doppelbock,2
9,Bock - Eisbock,3
10,Bock - Maibock,4
11,Bock - Traditional,5
12,Bock - Weizenbock,6
13,Braggot,28
14,Brett Beer,117
15,Brown Ale - American,9
16,Brown Ale - Belgian Dark,10
17,Brown Ale - English,11
18,California Common / Steam Beer,29
19,Chile Beer,75
20,Cream Ale,30
21,Dubbel,14
22,Farmhouse Ale - Bière de Garde,44
23,Farmhouse Ale - Sahti,76
24,Farmhouse Ale - Saison,45
25,Fruit and Field Beer,77
26,Gruit / Ancient Herbed Ale,78
27,Happoshu,79
28,Herb and Spice Beer,80
29,IPA - American,32
30,IPA - Belgian,33
31,IPA - Black / Cascadian Dark Ale,34
32,IPA - Brut,35
33,IPA - English,36
34,IPA - Imperial,37
35,IPA - New England,38
36,Kvass,81
37,Kölsch,46
38,Lager - Adjunct,54
39,Lager - American Amber / Red,19
40,Lager - American,55
41,Lager - European / Dortmunder Export,56
42,Lager - European Dark,20
43,Lager - European Pale,57
44,Lager - European Strong,58
45,Lager - Helles,59
46,Lager - India Pale Lager (IPL),60
47,Lager - Japanese Rice,82
48,Lager - Kellerbier / Zwickelbier,61
49,Lager - Light,62
50,Lager - Malt Liquor,63
51,Lager - Munich Dunkel,22
52,Lager - Märzen / Oktoberfest,21
53,Lager - Rauchbier,23
54,Lager - Schwarzbier,24
55,Lager - Vienna,25
56,Lambic - Faro,118
57,Lambic - Fruit,119
58,Lambic - Gueuze,120
59,Lambic - Traditional,121
60,Low Alcohol Beer,83
61,Mild Ale - English Dark,12
62,Mild Ale - English Pale,47
63,Old Ale,99
64,Pale Ale - American,48
65,Pale Ale - Belgian,49
66,Pale Ale - English,50
67,Pilsner - Bohemian / Czech,64
68,Pilsner - German,65
69,Pilsner - Imperial,66
70,Porter - American,68
71,Porter - Baltic,69
72,Porter - English,70
73,Porter - Imperial,71
74,Porter - Robust,72
75,Porter - Smoked,73
76,Pumpkin Beer,84
77,Quadrupel (Quad),100
78,Red Ale - American Amber / Red,51
79,Red Ale - Imperial,101
80,Red Ale - Irish,52
81,Rye Beer - Roggenbier,15
82,Rye Beer,85
83,Scotch Ale / Wee Heavy,102
84,Scottish Ale,16
85,Smoked Beer,86
86,Sour - Berliner Weisse,122
87,Sour - Flanders Oud Bruin,123
88,Sour - Flanders Red Ale,124
89,Sour - Gose,125
90,Stout - American Imperial,89
91,Stout - American,88
92,Stout - English,90
93,Stout - Foreign / Export,91
94,Stout - Irish Dry,92
95,Stout - Oatmeal,93
96,Stout - Russian Imperial,94
97,Stout - Sweet / Milk,95
98,Strong Ale - American,103
99,Strong Ale - Belgian Dark,104
100,Strong Ale - Belgian Pale,105
101,Strong Ale - English,106
102,Tripel,107
103,Wheat Beer - American Dark,110
104,Wheat Beer - American Pale,111
105,Wheat Beer - Dunkelweizen,112
106,Wheat Beer - Hefeweizen,113
107,Wheat Beer - Kristallweizen,114
108,Wheat Beer - Wheatwine,108
109,Wheat Beer - Witbier,115
110,Wild Ale,126
111,Winter Warmer,17
